Type,Description,Cl�,Capacit�,R,X,Pertes � vide,,,,,,,,,,,,,
,,,(kVA),(%),(%),(%),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
120/240 V,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
10a,10 kVA aerien,1-10a,10.0,0.850%,1.800%,0.350%,,,,,,,,,,,,,
25a,25 kVA aerien,1-25a,25.0,0.788%,1.800%,0.292%,,,,,,,,,,1.2,2,1.736,
50a,50 kVA aerien,1-50a,50.0,0.730%,1.800%,0.228%,,,,,,,,,,1.5,2,1.835,
75a,75 kVA aerien,1-75a,75.0,0.650%,1.800%,0.215%,,,,,,,,,,1.7,3,2.571,
100a,100 kVA aerien,1-100a,100.0,0.589%,1.800%,0.203%,,,,,,,,,,1.7,3,2.571,
167a,167 kVA aerien,1-167a,167.0,0.612%,2.200%,0.172%,,,,,,,,,,,,,
100s,100 kVA sur socle,1-100s,100.0,0.791%,2.454%,0.206%,,,,,,,,,,,,,
167s,167 kVA sur socle,1-167s,167.0,0.680%,2.267%,0.183%,,,,,,,,,,1.8,3,2.604,
100v,100 kVA vo�te sout.,1-100v,100.0,0.650%,2.000%,0.200%,?,,,,,,,,,,,,
125v,125 kVA vo�te sout.,1-125v,125.0,0.600%,1.800%,0.190%,?,,,,,,,,,,,,
167v,167 kVA vo�te sout.,1-167v,167.0,0.586%,1.664%,0.185%,,,,,,,,,,,,,
250v,250 kVA vo�te sout.,1-250v,250.0,0.490%,1.645%,0.160%,,,,,,,,,,,,,
333v,333 kVA  vo�te sout.,1-333v,333.0,0.563%,3.054%,0.132%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
120/208 V,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3x10a,3 x 10 kVA aerien,2-3x10a,30.0,0.850%,1.800%,0.350%,,,,,,,,,,,,,
3x25a,3 x 25 kVA aerien,2-3x25a,75.0,0.788%,1.800%,0.292%,,,,,,,,,,,,,
3x50a,3 x 50 kVA aerien,2-3x50a,150.0,0.730%,1.800%,0.228%,,,,,,,,,,,,,
3x75a,3 x 75 kVA aerien,2-3x75a,225.0,0.650%,1.800%,0.215%,,,,,,,,,,,,,
3x100a,3 x 100 kVA aerien,2-3x100a,300.0,0.589%,1.800%,0.203%,,,,,,,,,,,,,
3x167a,3 x 167 kVA aerien,2-3x167a,500.0,0.612%,2.200%,0.172%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 347/600 V,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3x10a,3 x 10 kVA aerien,3-3x10a,30.0,0.850%,1.800%,0.350%,,,,,,,,,,,,,
3x25a,3 x 25 kVA aerien,3-3x25a,75.0,0.788%,1.800%,0.292%,,,,,,,,,,,,,
3x50a,3 x 50 kVA aerien,3-3x50a,150.0,0.730%,1.800%,0.228%,,,,,,,,,,,,,
3x75a,3 x 75 kVA aerien,3-3x75a,225.0,0.650%,1.800%,0.215%,,,,,,,,,,,,,
3x100a,3 x 100 kVA aerien,3-3x100a,300.0,0.589%,1.800%,0.203%,,,,,,,,,,,,,
3x167a,3 x 167 kVA aerien,3-3x167a,500.0,0.612%,2.200%,0.172%,,,,,,,,,,,,,
300s,300 kVA sur socle,3-300s,300.0,0.600%,3.000%,0.200%,,,,,,,,,,,,,
500s,500 kVA sur socle,3-500s,500.0,0.671%,4.489%,0.158%,,,,,,,,,,,,,
750s,750 kVA sur socle,3-750s,750.0,0.615%,4.423%,0.146%,,,,,,,,,,,,,
1500s,1500 kVA sur socle,3-1500s,1500.0,0.567%,5.219%,0.112%,,,,,,,,,,,,,
2000s,2000 kVA sur socle,3-2000s,2000.0,0.579%,5.034%,0.109%,?,,,,,,,,,,,,
2500s,2500 kVA sur socle,3-2500s,2500.0,0.590%,4.849%,0.105%,,,,,,,,,,,,,
300v,300 kVA vo�te sout.,3-300v,300.0,0.570%,3.670%,0.226%,,,,,,,,,,,,,
500v,500 kVA vo�te sout.,3-500v,500.0,0.423%,3.495%,0.224%,,,,,,,,,,,,,
1000v,1000 kVA vo�te sout.,3-1000v,1000.0,0.291%,2.687%,0.178%,,,,,,,,,,,,,
500c,500 kVA ch. annexe,3-500c,500.0,0.600%,5.000%,0.170%,?,,,,,,,,,,,,
1000c,1000 kVA ch. annexe,3-1000c,1000.0,0.593%,5.094%,0.153%,,,,,,,,,,,,,
1500c,1500 kVA ch. annexe,3-1500c,1500.0,0.570%,4.959%,0.133%,?,,,,,,,,,,,,
2000c,2000 kVA ch. annexe,3-2000c,2000.0,0.546%,4.823%,0.113%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
