,,M (pente),,,,,,,,,,,,,,,,,, B (ordonnée à l'origine),,,,,,,,,,,,,,,,,,
Type-Superf,reprise,1,2,3,4,5,6,7,8,9,10,15,20,25,30,40,50,60,200,,,,,,,,,,,,,,,,,,,
4LB_ed_    46,0.068451045976547,0.031724242151008,0.030778276545499,0.027640932895976,0.026373045279599,0.026347720538661,0.026307376512484,0.025222529723651,0.025466341730708,0.025904678922342,0.025454754925038,0.025279363271752,0.025301553463835,0.025186585933304,0.025487313993269,0.024652382308210,0.024787736884668,0.025375535739678,0.024820163544641,4.991444636012320,7.490271707996820,2.619002418609380,2.748439519408990,2.775687798641800,2.724849738777350,2.678491250527200,2.693108762591770,2.635906188652870,2.578176364293960,2.581319235987380,2.490519637503890,2.420454920458520,2.387231936989480,2.331079353128390,2.334834398022280,2.289319166286990,2.236039346881330,2.158754788768410
4LB_ed_    67,0.065573995726907,0.037073365157438,0.028732825164155,0.026851209902565,0.026157146809725,0.025438328269182,0.025540456199265,0.025481524738659,0.025132870572303,0.024889390992693,0.025069079965541,0.024445520825041,0.024357444954558,0.024055518617857,0.023871598424996,0.023912768780578,0.024018598425843,0.023476639172674,0.023206793462058,5.184207002738230,7.131880466566040,2.756047661159470,2.801350959967520,2.790152996123380,2.785779020832470,2.729874911512880,2.675756096586210,2.658248756266020,2.646200655580440,2.607159458273710,2.546387081433540,2.483710190580110,2.463013447124430,2.439332296202620,2.384388504373610,2.340851443028230,2.363265416870600,2.266850584301510
4LB_ed_    96,0.061807106904088,0.034877339021668,0.027053182843716,0.026040888865504,0.024950166990613,0.024504852990930,0.023910553730432,0.023713655516188,0.023808615244791,0.023450606866532,0.023371091265413,0.023053945157662,0.022692559562779,0.022511260023388,0.022551411521408,0.022485374323241,0.022087168833975,0.022282923869732,0.021938069995346,5.545828329728860,7.342698975599980,2.917293323921630,2.879141779525420,2.906023058758140,2.875392647544700,2.886345548520830,2.845471541943400,2.785377267707190,2.784323931691800,2.770166373486000,2.679978345501870,2.643539188190810,2.611262272193370,2.566070238947160,2.521418372277990,2.526268683847520,2.477862085953070,2.388648037105830
4LB_ed_   139,0.065932254518979,0.029545864513538,0.023420179371610,0.022089693175226,0.021581149465623,0.021125985104062,0.020926384426667,0.020745624039627,0.020527683407065,0.020422238377722,0.020170846354312,0.019968219680910,0.019744958937749,0.019905479062124,0.019670094652176,0.019494020491914,0.019521456601544,0.019405105852360,0.019223237943814,4.972432811258880,8.083773932230040,3.422280806544270,3.428357980474080,3.374316494731750,3.345055283819310,3.301145081744190,3.258027917185370,3.241426793151040,3.205267151636490,3.215000416129010,3.108894186770380,3.053255675070090,2.973465825809140,2.966573283770390,2.937216554832440,2.882902684155460,2.877878790367810,2.766009692268870
4LL_ed_    46,0.069662261593449,0.032668292766044,0.032612565757028,0.027980262136353,0.027872327631039,0.027116800330712,0.026104304101274,0.026533465008017,0.025259268422137,0.026819948146054,0.025394520865877,0.025527000537928,0.025371715629136,0.025073352064749,0.024522831684530,0.025114256066336,0.025429379158232,0.025350985285526,0.025171749148714,5.446267462639900,7.898745124561750,2.904118530857200,3.189872916825000,3.083837581675900,3.023685180883530,3.020359904879220,2.933680926831030,2.961074528592890,2.828999637972530,2.879981193961240,2.745399643204390,2.674580023814850,2.644713649228000,2.636300327523420,2.545346639169030,2.490432275705670,2.464229366102960,2.349464260155610
4LL_ed_    67,0.066029499117631,0.039812040745786,0.026448396684986,0.023349321753874,0.023632431926553,0.024383446147023,0.024355312978936,0.023710992448067,0.024415805961581,0.023687477251044,0.024113988155094,0.023718293844955,0.023890836477741,0.023527905791385,0.023432026421136,0.023304581062180,0.023097442049780,0.023284799236302,0.022787265757596,5.689662548519690,7.420114009919040,3.317117858684030,3.500145922451100,3.367910593876430,3.206819911190710,3.137542310075910,3.122786588347690,3.017586513450120,3.038875187938210,2.965776885583710,2.866582991633540,2.773798926958330,2.748258549543390,2.709384280170810,2.666594864447450,2.646672061971960,2.602663831400990,2.509224647360530
4LL_ed_    96,0.065758531457231,0.035380481181532,0.027488612217557,0.026274425913935,0.024457010378461,0.024446909793622,0.024037794918303,0.023919954968000,0.023678356920862,0.023668566171242,0.023413454688851,0.023143182487250,0.022756404576691,0.022861070688869,0.022809092492564,0.022447550887133,0.022311281804438,0.022238385284643,0.022089873398065,5.715675443918150,7.845543728087390,3.217257167557200,3.219335923085210,3.288751062493270,3.200727401117200,3.168024043896590,3.102726186434130,3.088381621359140,3.040690651599210,3.033028098343020,2.921793681973270,2.882704389459170,2.812274719384950,2.769185937313700,2.748869761251950,2.722143445524780,2.703119570760260,2.576174313875470
4LL_ed_   139,0.063601222731313,0.031107409464682,0.022437904685471,0.020823733258213,0.020980694323086,0.020315718557835,0.020447863263728,0.020416075484534,0.020083355860940,0.020085273666599,0.019856785970783,0.019975277455643,0.019835870787523,0.019574536396889,0.019716330936972,0.019571316979340,0.019597781819342,0.019411956053208,0.019214427845717,6.015541356820750,8.439500696729610,3.919305514517050,3.976982202230590,3.771958994190420,3.774962982891650,3.667024543882620,3.589765434635930,3.588086768688370,3.538768309744580,3.527405050154470,3.362132481366550,3.288658586153500,3.269102985970120,3.199079793541060,3.148666274435290,3.099319943453200,3.095993233929700,2.975861245651870
9LB_ed_    46,0.160448559019620,0.033988282265396,0.019627643164596,0.020649654388225,0.021449065996216,0.021396664170474,0.021379867303715,0.022003797084498,0.021620202367426,0.021740241779009,0.021893992980425,0.021464748187456,0.021152124124358,0.021685729888838,0.021464004475087,0.021544017775042,0.021511345016914,0.021554744131349,0.021527500898775,6.230858129392430,7.058420109239890,3.021141454855650,2.914607834243580,2.821869787572740,2.770210488520500,2.724763959771450,2.642109970847330,2.616161902558360,2.574368092216710,2.539164164832220,2.470045903055360,2.421109520029170,2.347782379187540,2.320412065006820,2.269416265872740,2.238305850702610,2.213274341801750,2.099979498915310
